,hasID,hasTitle,hasDescription,hasNumberPage,hasPublicYear,hasExtension,hasSize,hasAuthor,hasPublisher,hasLanguage,hasRate,hasTags,hasCategory
0,4222673,Absolute Essentials of Ethereum,"Absolute Essentials of Ethereum is a concise textbook which guides the reader through the fascinating world of the emerging Ethereum ecosystem, from the basics of how its blockchain works to cutting-edge applications.Written by an experienced educator, each chapter is designed to progress potential students from class to class. Technical concepts are clearly explained for those new to the topic and readers are supported with definitions and summaries in each chapter. Real-life case studies situate the overviews in a contemporary context. Topics covered include the Ethereum Execution and Consensus layers, Ethereum governance and community, Decentralised Autonomous Organisations (DAOs), Decentralised Finance (DeFi), Non-Fungible Tokens (NFTs) and Layer 2.This book is the ideal text to support undergraduate and postgraduate courses on blockchain technologies, cryptocurrencies, Web3 and fintech, as well as for those who want to know how Ethereum really works.",108,2024,pdf,7 MB,['Paul Dylan-Ennis'],Routledge,English,4.36,"['Economy', 'Mathematical Economics']",Math
1,3603445,Analysis and Linear Algebra: An Introduction for Economists,"This elementary introduction was developed from lectures by the authors on business mathematics and the lecture ""Analysis and Linear Algebra"" for Bachelor's degree programmes",289,2023,pdf,10 MB,"['Thomas Holey', 'Armin Wiedemann']",Springer,English,3.14,"['Economy', 'Mathematical Economics']",Math
2,3642738,The Essentials of Financial Modeling in Excel: A Concise Guide to Concepts and Methods,"A concise and practical guide to financial modeling in ExcelIn The Essentials of Financial Modeling in Excel: A Concise Guide to Concepts and Methods, veteran quantitative modeling and business analysis expert Dr. Michael Rees delivers a practical and hands-on introduction to financial modeling in Excel. The author offers readers a well-structured and strategic toolkit to learn modeling from scratch, focusing on the core economic concepts and the structures commonly required within Excel models.Divided into six parts, the book discusses the use of models and the factors to consider when designing and building models so that they can be as powerful as possible, yet simple. . Readers will also findThe foundational structures and calculations most frequently used in modeling, including growth- and ratio-based methods, corkscrews, and waterfall analysisWalkthroughs of economic modeling, measurement, and evaluation, and the linking of these to the decision criteria. These include breakeven and payback analysis, compounding, discounting, calculation of returns, loan calculations, and othersStructured approaches for modeling in corporate finance, including financial statement modeling, cash flow valuation, cost of capital, and ratio analysisTechniques to implement sensitivity and scenario analysisCore aspects of statistical analysis, including data preparation, manipulation, and integrationThe use of approximately 100 Excel functions within example modeling contextsFurther Topics Sections, which introduce advanced aspects of many areas, in order to provide further benefit to more advance readers, whilst presenting the truly essential topics separately. Examples of these include introductions to PowerQuery and PowerPivot, as well as advanced waterfall structuresAn invaluable, all-in-one blueprint for learning financial modeling in Excel, this book is ideal for beginning and intermediate financial professionals and students seeking to build and reinforce essential topics in financial modeling.",286,2023,pdf,14 MB,['Michael Rees'],Wiley,English,3.43,"['Economy', 'Mathematical Economics']",Math
3,3302220,Microeconomía heterodoxa: Modelos sraffianos y marxistas,"Reseña:Esta obra está pensada para servir de complemento a un curso de microeconomía que tenga como fundamento un libro de texto marginalista o neoclásico. El tópico central es el análisis del valor y de la distribución en el llamado núcleo de una economía, con base en la consideración de los economistas clásicos. Se presenta primero el modelo clásico de precios de producción en su versión sraffiana –en particular, el efecto de las condiciones técnicas sobre los modelos de reproducción simple y la tasa de ganancia, el concepto de excedente, y la distribución entre capitalistas y trabajadores–. Se analiza a continuación una economía con más de una técnica, el concepto de capital, la Controversia del Capital de Cambridge y los efectos reales y los de precio de Wicksell. Luego se estudian modelos marxistas y se definen los conceptos básicos de valor trabajo, plusvalía y explotación –en particular, el teorema fundamental marxiano que muestra que no hay ganancia sin explotación–. Dentro del marco marxista se debate la forma correcta de realizar la conexión entre los valores y los precios de producción, lo que se llamó el problema de la transformación de valores en precios. Finalmente se consideran extensiones a modelos de producción conjunta (puros, de capital fijo y de renta diferencial para factores primarios escasos), preferencias y elección sobre bienes, y modelos dinámicos de inflación por puja distributiva.Sobre el autor:Es licenciado en Economía por la Universidad de Buenos Aires (UBA, 1999), magíster en Economía por la Universidad de San Andrés (2002), y magíster en Estadística (2006) y doctor en Economía (2007) por la University of Illinois at Urbana-Champaign. Es investigador independiente del Conicet con sede en el Instituto Interdisciplinario de Economía Política de Buenos Aires en la Facultad de Ciencias Económicas de la UBA. Se desempeña como profesor titular de Econometría I y adjunto de Microeconomía II en la UBA, y profesor titular de Econometría II en la Universidad Nacional de La Plata. Previamente fue profesor en City, University of London, y en la Universitat Autònoma de Barcelona. Sus principales áreas de investigación se encuentran en la econometría teórica y aplicada, en la economía del desarrollo con énfasis en la informalidad y la desigualdad, y en el estudio de modelos de determinación de precios de producción y valores.",184,2022,pdf,1006 kB,['Gabriel Montes Rojas'],EUDEBA,Spanish,3.3,"['Economy', 'Mathematical Economics']",Math
4,3355539,Statistics for Business and Economics: Compendium of Essential Formulas,"This 2nd edition compendium contains and explains essential statistical formulas within an economic context. Expanded by more than 100 pages compared to the 1st edition, the compendium has been supplemented with numerous additional practical examples, which will help readers to better understand the formulas and their practical applications. This statistical formulary is presented in a practice-oriented, clear, and understandable manner, as it is needed for meaningful and relevant application in global business, as well as in the academic setting and economic practice.The topics presented include, but are not limited to: statistical signs and symbols, descriptive statistics, empirical distributions, ratios and index figures, correlation analysis, regression analysis, inferential statistics, probability calculation, probability distributions, theoretical distributions, statistical estimation methods, confidence intervals, statistical testing methods, the Peren-Clement index, and the usual statistical tables.Given its scope, the book offers an indispensable reference guide and is a must-read for undergraduate and graduate students, as well as managers, scholars, and lecturers in business, politics, and economics.",324,2022,pdf,3 MB,['Franz W. Peren'],Springer,English,3.11,"['Economy', 'Mathematical Economics']",Math
5,3369353,Introduction to Mathematics for Economics with R,"This book provides a practical introduction to mathematics for economics using R software. Using R as a basis, this book guides the reader through foundational topics in linear algebra, calculus, and optimization. The book is organized in order of increasing difficulty, beginning with a rudimentary introduction to R and progressing through exercises that require the reader to code their own functions in R. All chapters include applications for topics in economics and econometrics. As fully reproducible book, this volume gives readers the opportunity to learn by doing and develop research skills as they go. As such, it is appropriate for students in economics and econometrics.",865,2022,pdf,11 MB,['Massimiliano Porto'],Springer,English,4.1,"['Economy', 'Mathematical Economics']",Math
6,3392366,Essays on Pareto Optimality in Cooperative Games,"The book focuses on Pareto optimality in cooperative games. Most of the existing works focus on the Pareto optimality of deterministic continuous-time systems or for the regular convex LQ case. To expand on the available literature, we explore the existence conditions of Pareto solutions in stochastic differential game for more general cases. In addition, the LQ Pareto game for stochastic singular systems, Pareto-based guaranteed cost control for uncertain mean-field stochastic systems, and the existence conditions of Pareto solutions in cooperative difference game are also studied in detail.Addressing Pareto optimality for more general cases and wider systems is one of the major features of the book, making it particularly suitable for readers who are interested in multi-objective optimal control. Accordingly, it offers a valuable asset for researchers, engineers, and graduate students in the fields of control theory and control engineering, economics, management science, mathematics, etc.",168,2022,pdf,3 MB,"['Yaning Lin', 'Weihai Zhang']",Springer,English,3.96,"['Economy', 'Mathematical Economics']",Math
7,3459738,Multigrammatical Framework for Knowledge-Based Digital Economy,"This monograph introduces a novel multiset-based conceptual, mathematical and knowledge engineering paradigm, called multigrammatical framework (MGF), used for planning and scheduling in resource-consuming, resource-producing (industrial) and resource-distributing (economical) sociotechnological systems (STS). This framework is meant to enable smart operation not only in a “business-as-usual” mode, but also in extraordinary, highly volatile or hazardous environments. It is the result of convergence and deep integration into a unified, flexible and effectively implemented formalism operating on multisets of several well-known paradigms from classical operations research and modern knowledge engineering, such as: mathematical programming, game theory, optimal scheduling, logic programming and constraint programming. The mathematical background needed for MGF, its algorithmics, applications, implementation issues, as well as its nexus with known models from operations research and theoretical computer science areas are considered. The resilience and recovery issues of an STS are studied by applying the MGF toolkit and on paying special attention to the multigrammatical assessment of resilience of energy infrastructures. MGF-represented resource-based games are introduced, and directions for further development are discussed. The author presents multiple applications to business intelligence, critical infrastructure, ecology, economy and industry. This book is addressed to scholars working in the areas of theoretical and applied computer science, artificial intelligence, systems analysis, operations research, mathematical economy and critical infrastructure protection, to engineers developing software-intensive solutions for implementation of the knowledge-based digital economy and Industry 4.0, as well as to students, aspirants and university staff. Foundational knowledge of set theory, mathematical logic and routine operations on data bases is needed to read this book. The content of the monograph is gradually presented, from simple to complex, in a well-understandable step-by-step manner. Multiple examples and accompanying figures are included in order to support the explanation of the various notions, expressions and algorithms.",467,2022,pdf,12 MB,['Igor A. Sheremet'],Springer,English,4.19,"['Economy', 'Mathematical Economics']",Math
8,3609293,Economic Dynamics: Theory and Computation,"The second edition of a rigorous and example-driven introduction to topics in economic dynamics that emphasizes techniques for modeling dynamic systems.This text provides an introduction to the modern theory of economic dynamics, with emphasis on mathematical and computational techniques for modeling dynamic systems. Written to be both rigorous and engaging, the book shows how sound understanding of the underlying theory leads to effective algorithms for solving real-world problems. The material makes extensive use of programming examples to illustrate ideas, bringing to life the abstract concepts in the text. Key topics include algorithms and scientific computing, simulation, Markov models, and dynamic programming. Part I introduces fundamentals and part II covers more advanced material. This second edition has been thoroughly updated, drawing on recent research in the field.New for the second edition: “Programming-language agnostic” presentation using pseudocode.New chapter 1 covering conceptual issues concerning Markov chains such as ergodicity and stability.New focus in chapter 2 on algorithms and techniques for program design and high-performance computing.New focus on household problems rather than optimal growth in material on dynamic programming.Solutions to many exercises, code, and other resources available on a supplementary website.",373,2022,pdf,37 MB,['John Stachurski'],The MIT Press,English,4.15,"['Economy', 'Mathematical Economics']",Math
9,2977183,Mathematical Modelling of Contemporary Electricity Markets,"Mathematical Modelling of Contemporary Electricity Markets reviews major methodologies and tools to accurately analyze and forecast contemporary electricity markets in a ways that is ideal for practitioner and academic audiences. Approaches include optimization, neural networks, genetic algorithms, co-optimization, econometrics, E3 models and energy system models. The work examines how new challenges affect power market modeling, including discussions of stochastic renewables, price volatility, dynamic participation of demand, integration of storage and electric vehicles, interdependence with other commodity markets and the evolution of policy developments (market coupling processes, security of supply). Coverage addresses all major forms of electricity markets: day-ahead, forward, intraday, balancing, and capacity.",442,2021,pdf,13 MB,['Athanasios Dagoumas'],Academic Press,English,4.5,"['Economy', 'Mathematical Economics']",Math
